Wall time,Step,Value
1529243331.0434864,1,2.65274977684021
1529243335.4022377,101,1.9947419166564941
1529243339.4195762,201,2.0624279975891113
1529243343.4358075,301,1.8061703443527222
1529243347.45337,401,1.7654601335525513
1529243351.4697907,501,1.6491587162017822
1529243355.4869816,601,1.7425591945648193
1529243359.4834764,701,1.4935853481292725
1529243363.5009701,801,1.5720714330673218
1529243367.5280576,901,1.6406456232070923
1529243379.126291,1001,1.4423800706863403
1529243383.4292724,1101,1.557748794555664
1529243387.4068975,1201,1.4445781707763672
1529243391.4072514,1301,1.5539798736572266
1529243395.3662782,1401,1.406589150428772
1529243399.3606544,1501,1.3849802017211914
1529243403.3584735,1601,1.3912155628204346
1529243407.3433208,1701,1.4530867338180542
1529243411.3228757,1801,1.3176127672195435
1529243415.2865577,1901,1.4599449634552002
1529243426.5175197,2001,1.4016308784484863
1529243430.8646169,2101,1.2858659029006958
1529243434.89895,2201,1.3936500549316406
1529243438.8765228,2301,1.3215444087982178
1529243442.8264186,2401,1.3433012962341309
1529243446.8090487,2501,1.2798205614089966
1529243450.7818704,2601,1.208829402923584
1529243454.7502904,2701,1.1382100582122803
1529243458.7588854,2801,1.1024471521377563
1529243462.753117,2901,1.410580039024353
1529243473.9185772,3001,1.2280240058898926
1529243478.183069,3101,1.2073373794555664
1529243482.1832547,3201,1.158510684967041
1529243486.183322,3301,1.1404895782470703
1529243490.188275,3401,1.2210729122161865
1529243494.212716,3501,1.0982173681259155
1529243498.1898298,3601,1.174269437789917
1529243502.080599,3701,1.1343046426773071
1529243506.029072,3801,1.2129217386245728
1529243509.9263191,3901,1.0452017784118652
1529243521.2521234,4001,0.9312289953231812
1529243525.5712385,4101,1.0072503089904785
1529243529.626309,4201,1.200865626335144
1529243533.644495,4301,1.2112982273101807
1529243537.583953,4401,1.1755398511886597
1529243541.6499312,4501,1.1295604705810547
1529243545.610683,4601,1.064342737197876
1529243549.5642736,4701,1.1034117937088013
1529243553.5434656,4801,1.137835144996643
1529243557.5305634,4901,0.9178715348243713
1529243568.6482625,5001,0.9403336048126221
1529243572.8806226,5101,0.9375947713851929
1529243576.9092946,5201,1.0553215742111206
1529243580.9062235,5301,0.9929972887039185
1529243584.9323525,5401,0.7886799573898315
1529243588.9211373,5501,1.0606780052185059
1529243592.8765771,5601,0.9954005479812622
1529243596.8963802,5701,0.968176007270813
1529243600.9219694,5801,0.9911293983459473
1529243604.856147,5901,0.8930132389068604
1529243616.109475,6001,1.0609352588653564
1529243620.4392745,6101,0.9629293084144592
1529243624.43145,6201,1.0007929801940918
1529243628.4157238,6301,1.070220947265625
1529243632.3777208,6401,0.9351804852485657
1529243636.389267,6501,0.8891568183898926
1529243640.3965192,6601,0.8837204575538635
1529243644.4072313,6701,0.8303999900817871
1529243648.3530066,6801,0.8804602026939392
1529243652.3530896,6901,0.9019720554351807
1529243663.5881948,7001,0.8509681224822998
1529243667.9035935,7101,0.7548967599868774
1529243671.9253116,7201,0.9454067945480347
1529243675.9741478,7301,0.972796618938446
1529243679.9953628,7401,0.9090548753738403
1529243683.9702141,7501,0.9082551002502441
1529243687.9424734,7601,0.8657187223434448
1529243691.9150496,7701,1.0079621076583862
1529243695.9433107,7801,0.7694301605224609
1529243699.9527807,7901,0.8819558620452881
1529243711.1906283,8001,0.6316589713096619
1529243715.389684,8101,0.8867741823196411
1529243719.3357892,8201,0.6907288432121277
1529243723.332514,8301,0.8981979489326477
1529243727.2956727,8401,0.7496621608734131
1529243731.2053676,8501,0.8724350929260254
1529243735.114926,8601,0.7890459299087524
1529243739.0490673,8701,0.819261908531189
1529243743.038585,8801,0.7198920845985413
1529243747.054611,8901,0.862054169178009
1529243758.1196277,9001,0.8822722434997559
1529243762.3708584,9101,0.6560339331626892
1529243766.4204116,9201,0.8752391338348389
1529243770.4042284,9301,0.745746374130249
1529243774.3398714,9401,0.8559612035751343
1529243778.273387,9501,0.73921799659729
1529243782.247398,9601,0.79182368516922
1529243786.2522473,9701,0.9392201900482178
1529243790.1998408,9801,0.7984851598739624
1529243794.1249988,9901,0.8242967128753662
1529243805.3055353,10001,0.8911607265472412
1529243809.54264,10101,0.7743613719940186
1529243813.455427,10201,0.5990973711013794
1529243817.3863137,10301,0.7504144906997681
1529243821.3231702,10401,0.6787030696868896
1529243825.2845104,10501,0.5956649780273438
1529243829.2130148,10601,0.7422420382499695
1529243833.1305547,10701,0.6896244287490845
1529243837.060716,10801,0.646884024143219
1529243840.9946675,10901,0.7412024140357971
1529243852.133159,11001,0.7463697195053101
1529243856.3982842,11101,0.8738746643066406
1529243860.3382552,11201,0.7114148139953613
1529243864.2701845,11301,0.5825322270393372
1529243868.227872,11401,0.62436842918396
1529243872.146108,11501,0.6832890510559082
1529243876.1587896,11601,0.6636461019515991
1529243880.1523736,11701,0.6027443408966064
1529243884.1514437,11801,0.5808964371681213
1529243888.1042871,11901,0.4969484806060791
1529243899.1954055,12001,0.6427799463272095
1529243903.410571,12101,0.6818849444389343
1529243907.330112,12201,0.5914421677589417
1529243911.2396944,12301,0.8108810186386108
1529243915.1361728,12401,0.7079355716705322
1529243919.057454,12501,0.7309057116508484
1529243923.0061886,12601,0.545588493347168
1529243926.945985,12701,0.6954559087753296
1529243930.8946447,12801,0.543267548084259
1529243934.8471968,12901,0.5947110056877136
1529243945.966688,13001,0.5962353944778442
1529243950.1907213,13101,0.4913686513900757
1529243954.1321156,13201,0.601867139339447
1529243958.0613034,13301,0.6544950008392334
1529243962.0291586,13401,0.62675940990448
1529243965.9985242,13501,0.7088304162025452
1529243969.9583905,13601,0.5527222156524658
1529243973.8886817,13701,0.545473039150238
1529243977.838058,13801,0.6349254250526428
1529243981.7808425,13901,0.5674875378608704
1529243992.9377046,14001,0.7109462022781372
1529243997.20386,14101,0.5746604204177856
1529244001.1329358,14201,0.5107219219207764
1529244005.0815916,14301,0.5067074298858643
1529244009.0104978,14401,0.5729148387908936
1529244012.9375267,14501,0.6448965072631836
1529244016.857809,14601,0.5319465398788452
1529244020.8002079,14701,0.636242151260376
1529244024.7137952,14801,0.5659868717193604
1529244028.6529362,14901,0.5288335680961609
1529244039.6428435,15001,0.5178679823875427
1529244043.868959,15101,0.6876115798950195
1529244047.7918942,15201,0.5058685541152954
1529244051.7296138,15301,0.5073301792144775
1529244055.6801963,15401,0.4409812390804291
1529244059.6223762,15501,0.42782869935035706
1529244063.5681567,15601,0.6702939867973328
1529244067.516372,15701,0.5721571445465088
1529244071.4564962,15801,0.48322218656539917
1529244075.374306,15901,0.6003523468971252
1529244086.5028515,16001,0.37375521659851074
1529244090.7241817,16101,0.44335097074508667
1529244094.6455677,16201,0.5315907597541809
1529244098.5777612,16301,0.4252976179122925
1529244102.5033312,16401,0.7288359999656677
1529244106.4686904,16501,0.46873077750205994
1529244110.395416,16601,0.4160813093185425
1529244114.3132663,16701,0.5311770439147949
1529244118.2085416,16801,0.4450749158859253
1529244122.1201713,16901,0.4638776183128357
1529244133.2157109,17001,0.5222669243812561
1529244137.423473,17101,0.4590281844139099
1529244141.3490627,17201,0.43746262788772583
1529244145.2940621,17301,0.4611588716506958
1529244149.2195067,17401,0.36633211374282837
1529244153.1411178,17501,0.4695819020271301
1529244157.0650086,17601,0.5119954943656921
1529244160.9798954,17701,0.4135891795158386
1529244164.913778,17801,0.5684924721717834
1529244168.818416,17901,0.4624459743499756
1529244179.912353,18001,0.5320764780044556
1529244184.165674,18101,0.5991408824920654
1529244188.0890846,18201,0.4958074390888214
1529244192.0103624,18301,0.44756388664245605
1529244195.9649193,18401,0.5342165231704712
1529244199.9227428,18501,0.5249686241149902
1529244203.8530245,18601,0.42186492681503296
1529244207.7711294,18701,0.42814093828201294
1529244211.7138844,18801,0.36540746688842773
1529244215.640258,18901,0.4973463714122772
1529244226.7734797,19001,0.4257124662399292
1529244230.9867222,19101,0.4511375427246094
1529244234.9242568,19201,0.44474104046821594
1529244238.85546,19301,0.4173969030380249
1529244242.7818217,19401,0.6105453968048096
1529244246.7117288,19501,0.42739060521125793
1529244250.656062,19601,0.39633259177207947
1529244254.5623362,19701,0.45331844687461853
1529244258.4835944,19801,0.2758121192455292
1529244262.4008436,19901,0.46914172172546387
